Tdiv	N1	N2	Nadm	s	Fonset	Tonset	admrate	Tadm	SELCOEFF	PP1N1	PP2N2	TONSET1	TSPLIT1	TSPLIT2	TONSET2	TSAMPLE	ALPHA1	ALPHA2
1000	10000	1000	10000	0.05	0.125	159	0.05	10	0.5	1000	100	4086	4100	4101	4102	4102	0.05	0.95
1500	10000	1000	10000	0.05	0.125	159	0.05	10	0.5	1000	100	4136	4150	4151	4152	4152	0.05	0.95
2000	10000	1000	10000	0.05	0.125	159	0.05	10	0.5	1000	100	4186	4200	4201	4202	4202	0.05	0.95
500	1000	10000	10000	0.05	0.125	113	0.05	10	0.5	100	1000	4041	4050	4051	4052	4052	0.05	0.95
1000	1000	10000	10000	0.05	0.125	113	0.05	10	0.5	100	1000	4091	4100	4101	4102	4102	0.05	0.95
1500	1000	10000	10000	0.05	0.125	113	0.05	10	0.5	100	1000	4141	4150	4151	4152	4152	0.05	0.95
2000	1000	10000	10000	0.05	0.125	113	0.05	10	0.5	100	1000	4191	4200	4201	4202	4202	0.05	0.95
500	10000	10000	10000	0.05	0.125	159	0.05	10	0.5	1000	1000	4036	4050	4051	4052	4052	0.05	0.95
1000	10000	10000	10000	0.05	0.125	159	0.05	10	0.5	1000	1000	4086	4100	4101	4102	4102	0.05	0.95
1500	10000	10000	10000	0.05	0.125	159	0.05	10	0.5	1000	1000	4136	4150	4151	4152	4152	0.05	0.95
2000	10000	10000	10000	0.05	0.125	159	0.05	10	0.5	1000	1000	4186	4200	4201	4202	4202	0.05	0.95
500	1000	1000	1000	0.1	0.125	57	0.05	10	1	100	100	4046	4050	4051	4052	4052	0.05	0.95
1000	1000	1000	1000	0.1	0.125	57	0.05	10	1	100	100	4096	4100	4101	4102	4102	0.05	0.95
1500	1000	1000	1000	0.1	0.125	57	0.05	10	1	100	100	4146	4150	4151	4152	4152	0.05	0.95
2000	1000	1000	1000	0.1	0.125	57	0.05	10	1	100	100	4196	4200	4201	4202	4202	0.05	0.95
500	10000	1000	1000	0.1	0.125	80	0.05	10	1	1000	100	4044	4050	4051	4052	4052	0.05	0.95
1000	10000	1000	1000	0.1	0.125	80	0.05	10	1	1000	100	4094	4100	4101	4102	4102	0.05	0.95
1500	10000	1000	1000	0.1	0.125	80	0.05	10	1	1000	100	4144	4150	4151	4152	4152	0.05	0.95
2000	10000	1000	1000	0.1	0.125	80	0.05	10	1	1000	100	4194	4200	4201	4202	4202	0.05	0.95
500	1000	10000	1000	0.1	0.125	57	0.05	10	1	100	1000	4046	4050	4051	4052	4052	0.05	0.95
1000	1000	10000	1000	0.1	0.125	57	0.05	10	1	100	1000	4096	4100	4101	4102	4102	0.05	0.95
1500	1000	10000	1000	0.1	0.125	57	0.05	10	1	100	1000	4146	4150	4151	4152	4152	0.05	0.95
2000	1000	10000	1000	0.1	0.125	57	0.05	10	1	100	1000	4196	4200	4201	4202	4202	0.05	0.95
500	10000	10000	1000	0.1	0.125	80	0.05	10	1	1000	1000	4044	4050	4051	4052	4052	0.05	0.95
1000	10000	10000	1000	0.1	0.125	80	0.05	10	1	1000	1000	4094	4100	4101	4102	4102	0.05	0.95
1500	10000	10000	1000	0.1	0.125	80	0.05	10	1	1000	1000	4144	4150	4151	4152	4152	0.05	0.95
2000	10000	10000	1000	0.1	0.125	80	0.05	10	1	1000	1000	4194	4200	4201	4202	4202	0.05	0.95
500	1000	1000	10000	0.1	0.125	57	0.05	10	1	100	100	4046	4050	4051	4052	4052	0.05	0.95
1000	1000	1000	10000	0.1	0.125	57	0.05	10	1	100	100	4096	4100	4101	4102	4102	0.05	0.95
1500	1000	1000	10000	0.1	0.125	57	0.05	10	1	100	100	4146	4150	4151	4152	4152	0.05	0.95
2000	1000	1000	10000	0.1	0.125	57	0.05	10	1	100	100	4196	4200	4201	4202	4202	0.05	0.95
500	10000	1000	10000	0.1	0.125	80	0.05	10	1	1000	100	4044	4050	4051	4052	4052	0.05	0.95
1000	10000	1000	10000	0.1	0.125	80	0.05	10	1	1000	100	4094	4100	4101	4102	4102	0.05	0.95
1500	10000	1000	10000	0.1	0.125	80	0.05	10	1	1000	100	4144	4150	4151	4152	4152	0.05	0.95
2000	10000	1000	10000	0.1	0.125	80	0.05	10	1	1000	100	4194	4200	4201	4202	4202	0.05	0.95
500	1000	10000	10000	0.1	0.125	57	0.05	10	1	100	1000	4046	4050	4051	4052	4052	0.05	0.95
1000	1000	10000	10000	0.1	0.125	57	0.05	10	1	100	1000	4096	4100	4101	4102	4102	0.05	0.95
1500	1000	10000	10000	0.1	0.125	57	0.05	10	1	100	1000	4146	4150	4151	4152	4152	0.05	0.95
2000	1000	10000	10000	0.1	0.125	57	0.05	10	1	100	1000	4196	4200	4201	4202	4202	0.05	0.95
500	10000	10000	10000	0.1	0.125	80	0.05	10	1	1000	1000	4044	4050	4051	4052	4052	0.05	0.95
1000	10000	10000	10000	0.1	0.125	80	0.05	10	1	1000	1000	4094	4100	4101	4102	4102	0.05	0.95
1500	10000	10000	10000	0.1	0.125	80	0.05	10	1	1000	1000	4144	4150	4151	4152	4152	0.05	0.95
2000	10000	10000	10000	0.1	0.125	80	0.05	10	1	1000	1000	4194	4200	4201	4202	4202	0.05	0.95
1000	1000	1000	1000	0.01	0.25	650	0.05	10	0.1	100	100	4037	4100	4101	4102	4102	0.05	0.95
1500	1000	1000	1000	0.01	0.25	650	0.05	10	0.1	100	100	4087	4150	4151	4152	4152	0.05	0.95
2000	1000	1000	1000	0.01	0.25	650	0.05	10	0.1	100	100	4137	4200	4201	4202	4202	0.05	0.95
1000	10000	1000	1000	0.01	0.25	880	0.05	10	0.1	1000	100	4014	4100	4101	4102	4102	0.05	0.95
1500	10000	1000	1000	0.01	0.25	880	0.05	10	0.1	1000	100	4064	4150	4151	4152	4152	0.05	0.95
2000	10000	1000	1000	0.01	0.25	880	0.05	10	0.1	1000	100	4114	4200	4201	4202	4202	0.05	0.95
1000	1000	10000	1000	0.01	0.25	650	0.05	10	0.1	100	1000	4037	4100	4101	4102	4102	0.05	0.95
1500	1000	10000	1000	0.01	0.25	650	0.05	10	0.1	100	1000	4087	4150	4151	4152	4152	0.05	0.95
2000	1000	10000	1000	0.01	0.25	650	0.05	10	0.1	100	1000	4137	4200	4201	4202	4202	0.05	0.95
1000	10000	10000	1000	0.01	0.25	880	0.05	10	0.1	1000	1000	4014	4100	4101	4102	4102	0.05	0.95
1500	10000	10000	1000	0.01	0.25	880	0.05	10	0.1	1000	1000	4064	4150	4151	4152	4152	0.05	0.95
2000	10000	10000	1000	0.01	0.25	880	0.05	10	0.1	1000	1000	4114	4200	4201	4202	4202	0.05	0.95
1000	1000	1000	10000	0.01	0.25	650	0.05	10	0.1	100	100	4037	4100	4101	4102	4102	0.05	0.95
1500	1000	1000	10000	0.01	0.25	650	0.05	10	0.1	100	100	4087	4150	4151	4152	4152	0.05	0.95
2000	1000	1000	10000	0.01	0.25	650	0.05	10	0.1	100	100	4137	4200	4201	4202	4202	0.05	0.95
1000	10000	1000	10000	0.01	0.25	880	0.05	10	0.1	1000	100	4014	4100	4101	4102	4102	0.05	0.95
1500	10000	1000	10000	0.01	0.25	880	0.05	10	0.1	1000	100	4064	4150	4151	4152	4152	0.05	0.95
